,0
406,-0.5181455
407,-0.29761574
408,-0.5051398
409,1.948796
410,-0.6555452
411,-0.60336924
412,-0.86266345
413,-0.44301197
414,1.3843274
415,0.21767679
416,-0.5265777
417,-0.049817648
418,-0.70348364
419,2.7516248
420,-0.53496855
421,-0.7505422
422,-0.60593826
423,-0.34249333
424,0.96009666
425,-0.23477527
426,-0.7179198
427,-0.65084976
428,-0.17056814
429,1.2828041
430,-0.64447814
431,-0.22703978
432,-0.97633034
433,-0.6831441
434,2.273228
435,-0.26943377
436,-0.42669198
437,0.06631616
438,-0.5344426
439,1.7560729
440,-0.72874594
441,-0.4672707
442,-0.5473053
443,0.32173112
444,1.2153933
445,-0.5629383
446,-0.6817076
447,-0.66751367
448,-0.46266738
449,2.8324635
450,-0.6198835
451,-0.075044245
452,-0.27578703
453,-0.6902063
454,1.0514631
455,0.20708975
456,-0.63700813
457,-0.710106
458,-0.17041185
459,1.8766683
460,-0.641015
461,-0.2609752
462,-0.84541035
463,-0.27582005
464,1.6537193
465,-0.6965317
466,-0.88051695
467,0.021496449
468,-0.7911709
469,1.1886177
470,-0.6092508
471,-0.49535784
472,-0.7063992
473,-0.31091812
474,0.8209103
475,-0.4549828
476,-0.3955061
477,-0.80260646
478,-0.77757394
479,2.6961343
480,-0.47686526
481,-0.09456065
482,-0.029197838
483,-0.14934048
484,1.008553
485,-0.342182
486,-0.5920275
487,0.3416598
488,0.040058408
489,1.4756858
490,-0.9656779
491,-0.2589781
492,-0.52550966
493,-0.444616
494,1.9035236
495,-0.26772407
496,-0.18454173
497,0.035706554
498,-0.33908924
499,1.7349911
500,-0.27966532
501,-0.9152607
502,-0.6046077
503,-0.10365519
504,0.9545943
505,-0.7527402
506,-0.55178887
507,0.023605976
508,-0.9656383
509,2.0898492
510,-0.5884508
511,-0.1812652
512,-0.5091114
513,-0.16721037
514,0.99667054
515,-0.390963
516,-1.1526477
517,-0.37319794
518,-0.3509855
519,2.082569
520,-0.77766544
521,-0.5432184
522,-0.9940511
523,0.10947958
524,1.6613939
525,-0.38603738
526,-0.36337408
527,-0.1870592
528,-0.736638
529,1.9502841
530,-0.30162352
531,-0.047375526
532,-0.371204
533,-0.19955406
534,0.8801613
535,-0.11956963
536,-0.667211
537,-0.057034697
538,0.0029375888
539,3.392009
540,-0.5671651
541,-0.54087347
542,-0.74296486
543,0.19201913
544,0.9927061
545,-0.23605046
546,-0.5302219
547,0.022275958
548,-0.33873644
549,1.6455277
550,-0.7411165
551,-0.15297398
552,-0.47475913
553,-0.1943318
554,2.3038146
555,-0.2906976
556,-1.0772581
557,-0.55161303
558,-0.77592874
559,1.6061922
560,-0.45201054
561,-0.23590508
562,-0.16966411
563,-0.101703554
564,0.9166633
565,-0.26468125
566,-0.35083392
567,-0.46785888
568,-0.37097922
569,2.3074114
570,-0.59680724
571,-0.37791732
572,-0.65350175
573,-0.35790733
574,1.0067972
575,0.4495258
576,-0.75093085
577,-1.1994382
578,-0.38467702
579,1.8137476
580,-0.76794606
581,-0.10747382
582,-0.77659553
583,-0.29948083
584,1.7229865
585,-0.59796697
586,-0.8227479
587,-0.10540059
588,-0.3548217
589,1.6213728
590,-0.11496511
591,-0.19521055
592,-0.27384993
593,0.15765527
594,1.2378229
595,-0.5146271
596,-0.41360453
597,-0.59145856
598,-0.62446874
599,2.470065
600,-0.66749614
601,-0.595239
602,-0.57206106
603,-0.5982772
604,1.0877993
605,-0.35784617
606,-0.68441784
607,0.12185761
608,-0.46158436
609,0.8917938
610,-0.6494465
611,-0.064111024
612,-0.21234474
613,-0.04612651
614,1.7126377
615,-0.38783655
616,-0.38203666
617,0.17573074
618,-0.24872252
619,1.9585762
620,-0.37281236
621,-0.7166092
622,-0.3097175
623,-0.27694365
624,0.86644286
625,-0.45054957
626,-0.2511389
627,-0.018251743
628,-0.33436033
629,2.147587
630,-0.49501285
631,-0.45496395
632,-0.7985496
633,-0.6401142
634,1.0930489
635,0.41041616
636,-0.56591266
637,-0.56598145
638,-0.5679162
639,1.59311
640,-0.5678309
641,-0.13793322
642,-0.585851
643,-0.28574368
644,1.7731873
645,-0.38361356
646,-0.94768476
647,-0.06744382
648,-0.22706947
649,1.9775243
